2 100 20 2
600.0 75.0
1 -13.4 -4.8 0.0 4.0 0.0 0.0 0.0 0.0 0.0
2 -8.2 -14.1 0.0 14.1 0.0 0.0 0.0 0.0 0.0
3 -6.9 9.3 0.0 18.5 0.0 0.0 0.0 0.0 0.0
4 0.1 -7.9 0.0 14.6 0.0 0.0 0.0 0.0 0.0
5 2.9 -14.3 0.0 6.2 0.0 0.0 0.0 0.0 0.0
6 0.8 -10.3 0.0 22.0 0.0 0.0 0.0 0.0 0.0
7 7.2 0.1 0.0 34.6 0.0 0.0 0.0 0.0 0.0
8 -14.5 -7.3 0.0 6.9 0.0 0.0 0.0 0.0 0.0
9 13.4 10.8 0.0 70.7 0.0 0.0 0.0 0.0 0.0
10 -0.9 14.4 0.0 33.9 0.0 0.0 0.0 0.0 0.0
11 5.0 -4.3 0.0 13.0 0.0 0.0 0.0 0.0 0.0
12 -4.7 0.2 0.0 13.1 0.0 0.0 0.0 0.0 0.0
13 -4.2 1.8 0.0 29.9 0.0 0.0 0.0 0.0 0.0
14 11.5 -10.7 0.0 13.1 0.0 0.0 0.0 0.0 0.0
15 6.8 9.7 0.0 32.0 0.0 0.0 0.0 0.0 0.0
16 1.7 -0.8 0.0 15.1 0.0 0.0 0.0 0.0 0.0
17 15.3 21.8 0.0 64.9 0.0 0.0 0.0 0.0 0.0
18 -22.3 15.4 0.0 9.2 0.0 0.0 0.0 0.0 0.0
19 -17.8 -15.9 0.0 13.0 0.0 0.0 0.0 0.0 0.0
20 24.0 -23.3 0.0 19.5 0.0 0.0 0.0 0.0 0.0
21 22.2 24.6 0.0 326.0 0.0 0.0 0.0 0.0 0.0
22 -23.7 -18.0 0.0 157.0 0.0 0.0 0.0 0.0 0.0
