200
10

9	36
39	46
46	20
42	8
41	3
47	6
33	37
25	24
10	2
12	46

18	4
49	45
14	4
25	17
10	1
10	28
50	12
46	49
42	16
39	50
11	23
50	12
32	12
43	50
10	8
49	37
23	8
18	28
35	42
6	39
5	12
50	48
39	36
22	3
20	14
41	47
8	36
3	23
44	24
26	4
9	20
18	41
5	34
12	13
25	3
28	3
28	22
2	10
18	1
50	17
16	17
48	8
17	47
4	12
7	21
43	43
50	16
40	11
16	37
30	16
49	7
46	6
8	3
8	2
32	28
35	39
48	31
8	6
32	39
18	45
41	2
7	36
36	6
5	40
42	23
15	16
27	49
38	28
7	32
4	26
39	11
4	5
20	13
12	29
3	21
33	23
1	19
28	17
26	22
23	9
2	50
7	8
42	1
49	44
22	35
23	49
1	22
50	41
15	21
48	27
42	27
4	38
24	24
10	36
37	26
24	38
46	27
40	50
30	11
46	14
29	40
42	1
39	12
41	13
50	16
47	15
13	19
9	22
28	21
5	5
45	5
10	38
8	14
46	14
37	4
18	39
39	27
33	27
34	5
12	24
27	8
38	24
42	36
46	45
16	16
6	50
32	22
2	6
5	25
49	37
18	33
21	9
48	29
14	35
20	3
19	18
28	12
43	45
11	43
32	16
22	17
6	11
39	17
42	30
36	22
20	19
33	25
34	2
29	27
49	48
44	35
41	26
20	41
31	37
11	31
6	33
16	31
39	44
14	9
40	37
34	22
26	23
2	35
5	36
45	7
47	3
7	6
22	20
50	13
15	21
40	18
25	33
48	20
36	17
15	39
31	43
14	41
26	30
2	44
2	19
35	5
11	50
20	47
32	11
2	44
6	33
4	48
19	43
50	46
26	14
4	28
16	3
24	49
29	31
17	11
14	44
25	8
40	4
1	18
7	47

150

1190
910
910
1050
980
1190
1120
1120
1190
1050

16
16
11
15
14
12
19
13
18
17
19
14
11
20
15
12
16
19
15
11
12
14
12
14
13
10
20
11
20
19
14
13
13
16
20
20
17
20
18
13
19
11
15
16
19
12
14
18
14
13
16
13
12
20
18
20
16
20
17
20
18
16
13
17
18
16
14
20
14
18
12
12
20
17
15
16
18
16
18
11
19
14
20
17
12
12
19
16
18
12
20
16
16
15
18
12
13
15
12
11
13
19
15
18
16
14
12
17
11
14
17
18
17
16
18
17
16
11
14
17
16
16
11
16
17
19
20
20
20
14
17
14
14
12
20
14
16
15
20
17
18
14
20
18
13
17
11
11
13
16
19
18
16
18
18
19
14
11
14
17
16
16
18
14
12
16
17
17
15
14
16
20
20
12
11
11
12
16
12
12
12
13
16
14
13
14
14
12
19
20
13
16
12
17
12
13
16
17
11
13

106139
71504
113683
88508
81410
76197
124443
112616
107240
102347

1000

0

